#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 18:43:44.264,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 10 Hz,,
#Period: 100 ms,,
#Amplitude: 500 mV,,
#Offset: 500 mV,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Wavegen Channel 2: Running,,
#Mode: Simple,,
#Type: DC,,
#Offset: 5 V,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 1.6 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.8385,-1.567299665,0.503315086
-0.83825,-1.567299665,0.514649367
-0.838,-1.567299665,0.522205554
-0.83775,-1.571063397,0.52976174
-0.8375,-1.571063397,0.537317927
-0.83725,-1.574827128,0.544874114
-0.837,-1.574827128,0.556208395
-0.83675,-1.57859086,0.563764582
-0.8365,-1.586118324,0.571320769
-0.83625,-1.589882055,0.578876955
-0.836,-1.597409519,0.582655049
-0.83575,-1.597409519,0.593989329
-0.8355,-1.597409519,0.601545516
-0.83525,-1.601173251,0.609101703
-0.835,-1.608700714,0.612879797
-0.83475,-1.616228178,0.624214077
-0.8345,-1.627519373,0.62799217
-0.83425,-1.635046836,0.639326451
-0.834,-1.6425743,0.646882638
-0.83375,-1.653865495,0.654438825
-0.8335,-1.668920422,0.661995012
-0.83325,-1.480733835,0.669551198
-0.833,-0.931229001,0.677107385
-0.83275,-0.931229001,0.680885479
-0.8325,-0.878536757,0.688441666
-0.83225,-0.916174074,0.699775946
-0.832,-0.934992733,0.70355404
-0.83175,-0.938756464,0.711110227
-0.8315,-0.938756464,0.718666413
-0.83125,-0.938756464,0.722444507
-0.831,-0.938756464,0.730000694
-0.83075,-0.88606422,0.737556881
-0.8305,-0.931229001,0.745113068
-0.83025,-0.946283928,0.748891161
-0.83,-0.95004766,0.756447348
-0.82975,-0.919937806,0.767781628
-0.8295,-0.904882879,0.771559722
-0.82925,-0.95004766,0.779115909
-0.829,-0.916174074,0.786672096
-0.82875,-0.912410342,0.790450189
-0.8285,-0.95004766,0.798006376
-0.82825,-0.953811391,0.805562563
-0.828,-0.953811391,0.81311875
-0.82775,-0.953811391,0.816896843
-0.8275,-0.953811391,0.82445303
-0.82725,-0.934992733,0.832009217
-0.827,-0.90864661,0.835787311
-0.82675,-0.953811391,0.843343498
-0.8265,-0.957575123,0.850899685
-0.82625,-0.961338855,0.854677778
-0.826,-0.961338855,0.858455872
-0.82575,-0.957575123,0.862233965
-0.8255,-0.90864661,0.869790152
-0.82525,-0.953811391,0.873568245
-0.825,-0.968866318,0.881124432
-0.82475,-0.976393782,0.884902526
-0.8245,-0.852190634,0.892458713
-0.82425,-0.125790409,0.896236806
-0.824,-0.122026677,0.9000149
-0.82375,-0.122026677,0.907571086
-0.8235,-0.118262945,0.91134918
-0.82325,-0.118262945,0.915127273
-0.823,-0.118262945,0.918905367
-0.82275,-0.118262945,0.92268346
-0.8225,-0.114499213,0.930239647
-0.82225,-0.114499213,0.934017741
-0.822,-0.114499213,0.937795834
-0.82175,-0.114499213,0.941573928
-0.8215,-0.114499213,0.945352021
-0.82125,-0.114499213,0.949130115
-0.821,-0.114499213,0.952908208
-0.82075,-0.114499213,0.956686301
-0.8205,-0.114499213,0.960464395
-0.82025,-0.114499213,0.964242488
-0.82,-0.114499213,0.968020582
-0.81975,-0.114499213,0.971798675
-0.8195,-0.110735482,0.971798675
-0.81925,-0.110735482,0.975576769
-0.819,-0.114499213,0.979354862
-0.81875,-0.114499213,0.979354862
-0.8185,-0.114499213,0.986911049
-0.81825,-0.114499213,0.986911049
-0.818,-0.114499213,0.990689143
-0.81775,-0.114499213,0.990689143
-0.8175,-0.114499213,0.994467236
-0.81725,-0.110735482,0.99824533
-0.817,-0.114499213,0.99824533
