#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 18:52:36.817,,
#Sample rate: 160000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 100 Hz,,
#Period: 10 ms,,
#Amplitude: 500 mV,,
#Offset: 500 mV,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Wavegen Channel 2: Running,,
#Mode: Simple,,
#Type: DC,,
#Offset: 5 V,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 1.6 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.168225,-1.958727766,0.499536993
0.16823125,-1.951200302,0.503315086
0.1682375,-1.951200302,0.503315086
0.16824375,-1.951200302,0.50709318
0.16825,-1.954964034,0.50709318
0.16825625,-1.958727766,0.510871273
0.1682625,-1.958727766,0.51842746
0.16826875,-1.962491498,0.51842746
0.168275,-1.962491498,0.51842746
0.16828125,-1.966255229,0.522205554
0.1682875,-1.966255229,0.522205554
0.16829375,-1.966255229,0.525983647
0.1683,-1.970018961,0.525983647
0.16830625,-1.970018961,0.52976174
0.1683125,-1.970018961,0.52976174
0.16831875,-1.973782693,0.537317927
0.168325,-1.970018961,0.533539834
0.16833125,-1.973782693,0.533539834
0.1683375,-1.970018961,0.537317927
0.16834375,-1.973782693,0.541096021
0.16835,-1.973782693,0.544874114
0.16835625,-1.973782693,0.544874114
0.1683625,-1.973782693,0.544874114
0.16836875,-1.973782693,0.548652208
0.168375,-1.973782693,0.556208395
0.16838125,-1.973782693,0.556208395
0.1683875,-1.973782693,0.552430301
0.16839375,-1.977546425,0.552430301
0.1684,-1.973782693,0.559986488
0.16840625,-1.977546425,0.563764582
0.1684125,-1.977546425,0.563764582
0.16841875,-1.981310156,0.563764582
0.168425,-1.981310156,0.563764582
0.16843125,-1.981310156,0.567542675
0.1684375,-1.985073888,0.571320769
0.16844375,-1.98883762,0.571320769
0.16845,-1.985073888,0.571320769
0.16845625,-1.98883762,0.575098862
0.1684625,-1.98883762,0.575098862
0.16846875,-1.98883762,0.582655049
0.168475,-1.992601352,0.578876955
0.16848125,-1.992601352,0.582655049
0.1684875,-2.000128815,0.586433142
0.16849375,-2.000128815,0.582655049
0.1685,-2.003892547,0.586433142
0.16850625,-2.000128815,0.586433142
0.1685125,-2.003892547,0.590211236
0.16851875,-2.01142001,0.593989329
0.168525,-2.007656278,0.593989329
0.16853125,-2.01142001,0.597767423
0.1685375,-2.01142001,0.597767423
0.16854375,-2.015183742,0.601545516
0.16855,-2.015183742,0.601545516
0.16855625,-2.01142001,0.60532361
0.1685625,-2.018947474,0.60532361
0.16856875,-2.018947474,0.60532361
0.168575,-2.022711205,0.612879797
0.16858125,-2.022711205,0.612879797
0.1685875,-2.026474937,0.612879797
0.16859375,-2.030238669,0.61665789
0.1686,-2.034002401,0.620435983
0.16860625,-2.034002401,0.620435983
0.1686125,-2.037766132,0.620435983
0.16861875,-2.041529864,0.624214077
0.168625,-2.045293596,0.624214077
0.16863125,-2.049057328,0.62799217
0.1686375,-2.049057328,0.631770264
0.16864375,-2.052821059,0.62799217
0.16865,-2.060348523,0.631770264
0.16865625,-2.064112255,0.635548357
0.1686625,-2.071639718,0.639326451
0.16866875,-2.07540345,0.639326451
0.168675,-2.07540345,0.643104544
0.16868125,-2.180787939,0.643104544
0.1686875,-2.436721697,0.646882638
0.16869375,-2.463067819,0.650660731
0.1687,-2.387793184,0.646882638
0.16870625,-1.947436571,0.654438825
0.1687125,-1.375349346,0.654438825
0.16871875,-1.168344101,0.654438825
0.168725,-1.157052905,0.658216918
0.16873125,-1.153289174,0.654438825
0.1687375,-1.160816637,0.661995012
0.16874375,-1.160816637,0.665773105
0.16875,-1.160816637,0.665773105
0.16875625,-1.164580369,0.669551198
0.1687625,-1.172107832,0.665773105
0.16876875,-1.172107832,0.669551198
0.168775,-1.168344101,0.673329292
0.16878125,-1.172107832,0.673329292
0.1687875,-1.168344101,0.673329292
0.16879375,-1.172107832,0.677107385
0.1688,-1.179635296,0.680885479
0.16880625,-1.175871564,0.680885479
0.1688125,-1.175871564,0.684663572
0.16881875,-1.175871564,0.684663572
